aujourd'hui	ADV	aujourd'hui
l'	DET:def	le
une	NUM	@card@
de	PRP	de
vos	DET:pos	votre
terres	NOM	terre
a	AUX:pres	avoir
été	AUX:pper	être
détruite	VER:pper	détruire
par	PRP	par
l'	DET:def	le
incendie	NOM	incendie
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
pouvez	VER:pres	pouvoir
m'	PRO:clo	me
expliquer	VER:infi	expliquer
comment	PRO:int	comment
cela	PRO:cls	cela
s'	PRO:clo	se
est	AUX:pres	être
produit	VER:pper	produire
malheureusement	ADV	malheureusement
oui	FNO	oui
voilà	FNO	voilà
c'	PRO:cls	ce
était	VER:impf	être
à	PRP	à
peu	NOM	peu
près	ADV	près
vers	PRP	vers
midi	NOM	midi
et	KON	et
demie	NOM	demi
une	DET:ind	un
heure	NOM	heure
moins	ADV	moins
le	DET:def	le
quart	NOM	quart
quand	KON	quand
j'	PRO:cls	je
ai	AUX:pres	avoir
commencé	VER:pper	commencer
à	PRP	à
entendre	VER:infi	entendre
une	DET:ind	un
sonn-	TRC	<unknown>
une	DET:ind	un
sirène	NOM	sirène
rugir	VER:infi	rugir
j'	PRO:cls	je
ai	AUX:pres	avoir
attendu	VER:pper	attendre
ça	PRO:cls	ça
a	AUX:pres	avoir
été	AUX:pper	être
très	ADV	très
très	ADV	très
long	ADJ	long
alors	ADV	alors
que	KON	que
d'	PRP	un
habitude	NOM	habitude
elles	PRO:cls	elle
vont	VER:pres	aller
plus	ADV	plus
vite	ADV	vite
puis	KON	puis
un	DET:ind	un
deuxième	ADJ	deuxième
coup	NOM	coup
un	DET:ind	un
accident	NOM	accident
je	PRO:cls	je
dis	VER:pres	dire
troisième	ADJ	troisième
coup	NOM	coup
c'	PRO:cls	ce
est	VER:pres	être
dangereux	ADJ	dangereux
quatrième	NOM	quatrième
cinquième	ADJ	cinquième
c'	PRO:cls	ce
est	VER:pres	être
l'	DET:def	le
incendie	NOM	incendie
parce	TRC	parce
que	KON	que
suivant	PRP	suivant
le	DET:def	le
nombre	NOM	nombre
de	PRP	de
fois	NOM	fois
qu'	KON	que
elle	PRO:cls	elle
rugit	VER:pres	rugir
cela	PRO:cls	cela
veux	VER:pres	vouloir
dire	VER:infi	dire
une	DET:ind	un
chose	NOM	chose
différente	ADJ	différent
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
donc	ADV	donc
les	DET:def	le
sirènes	NOM	sirène
qui	PRO:rel	qui
vous	PRO:clo	vous
ont	AUX:pres	avoir
appris	VER:pper	apprendre
après	ADV	après
qu'	KON	que
il	PRO:clsi	il
s'	PRO:clo	se
agissait	VER:impf	agir
d'	PRP	un
un	DET:ind	un
incendie	NOM	incendie
et	KON	et
automatiquement	ADV	automatiquement
donc	ADV	donc
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
eu	VER:pper	avoir
celle	PRO:dem	celui
de	PRP	de
¤T¤	NAM	¤T¤
on	PRO:cls	on
a	AUX:pres	avoir
entendu	VER:pper	entendre
au	PRP:det	au
loin	ADV	loin
celle	PRO:dem	celui
de	PRP	de
¤T¤	NAM	¤T¤
on	PRO:cls	on
a	AUX:pres	avoir
entendu	VER:pper	entendre
celle	PRO:dem	celui
de	PRP	de
¤T¤	NAM	¤T¤
et	KON	et
celles	PRO:dem	celui
des	PRP:det	du
alentours	NOM	alentour
à	PRP	à
ce	DET:dem	ce
moment-là	NOM	<unknown>
on	PRO:cls	on
a	AUX:pres	avoir
commencé	VER:pper	commencer
à	PRP	à
entendre	VER:infi	entendre
les	DET:def	le
pompiers	NOM	pompier
oui	FNO	oui
là	ADV	là
j'	PRO:cls	je
ai	AUX:pres	avoir
commencé	VER:pper	commencer
à	PRP	à
